,x,y,time,temp_avg
93,51.68387771923425,55.58820006989121,2009-04-04,1.6
94,51.68387771923425,55.58820006989121,2009-04-05,1.4
95,51.68387771923425,55.58820006989121,2009-04-06,-1.2
96,51.68387771923425,55.58820006989121,2009-04-07,2.7
97,51.68387771923425,55.58820006989121,2009-04-08,0.7
98,51.68387771923425,55.58820006989121,2009-04-09,-1.2
99,51.68387771923425,55.58820006989121,2009-04-10,1.5
100,51.68387771923425,55.58820006989121,2009-04-11,-0.8
101,51.68387771923425,55.58820006989121,2009-04-12,0.1
102,51.68387771923425,55.58820006989121,2009-04-13,0.4
103,51.68387771923425,55.58820006989121,2009-04-14,2.6
104,51.68387771923425,55.58820006989121,2009-04-15,2.9
105,51.68387771923425,55.58820006989121,2009-04-16,5.2
106,51.68387771923425,55.58820006989121,2009-04-17,7.7
